Sr. No.,work_id,Work category,work_category_code,State,IDA,MP,Elected/Nominated,Work description,Recommended date,Sanction Date,sanction_lag_days,sanction_amount,Work Status,work_status_code
81,WS/MP577/2025-2026/133613-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,zabu game bamaniya faliya ma sarvajanik kuva nu kam,2024-07-17,2026-01-02,534,250000.0,Sanction,1
82,"WS/MP577/2025-2026/133614-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,zabu game pateliya faliya ma c.c.road nu kam,2024-07-17,2026-01-02,534,250000.0,Sanction,1
83,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
84,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Gondara,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
85,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
86,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
87,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
88,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
89,WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,2024-07-22,2024-09-02,42,299155.0,Physical Inspection,0
90,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
91,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,2024-07-22,2024-08-02,11,300000.0,Physical Inspection,0
92,WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of Cycle Shed in Govt Primary school Lambwali,2024-07-22,2024-09-02,42,197304.0,Physical Inspection,0
93,WS/MP18152/2024-2025/133696-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Pakka No.4,2024-07-22,2024-08-02,11,84500.0,Physical Inspection,0
94,WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,2024-07-22,2024-09-02,42,298940.0,Physical Inspection,0
95,WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali,2024-07-22,2024-09-02,42,250000.0,Physical Inspection,0
96,WS/MP18152/2024-2025/133699-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,2024-07-22,2024-09-02,42,84500.0,Physical Inspection,0
97,WS/MP18152/2024-2025/133700-Installing community drinking water plants,Normal/Others,1,Punjab,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Gurri Sangar,2024-07-22,2025-01-01,163,100000.0,Physical Inspection,0
98,WS/MP18152/2024-2025/133701-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,2024-07-22,2024-08-02,11,84500.0,Physical Inspection,0
99,WS/MP18152/2024-2025/133702-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Middle school Chahal,2024-07-22,2024-09-02,42,84500.0,Physical Inspection,0
100,WS/MP18152/2024-2025/133703-Installing community drinking water plants,Normal/Others,1,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA (2024-2029),Elected MP,Installation of RO System and water cooler in Govt Primary school Dhudi,2024-07-22,2024-08-02,11,84500.0,Physical Inspection,0
101,WS/MP577/2024-2025/133772-Providing drains and gutters for public drainage,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DUNGAR GAME KHAJURIYA FALIYA MA NAALA NU KAM,2024-07-20,2025-01-08,172,225200.0,Physical Inspection,0
102,"WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DUNGAR GAME VALAY NADI PAR SANRAKSHAN DIVAL NU KAM,2024-07-20,2025-01-08,172,328900.0,Physical Inspection,0
103,"WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DUNGAR GAME KADECHHA FALIYA MA MUKHY RASTA THI VINODBHAI VALABHAINA GHAR SUDHI R.C.C ROAD NU KAM,2024-07-20,2025-01-08,172,288400.0,Physical Inspection,0
104,WS/MP577/2024-2025/133775-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DUNGAR GAME KUND FALIYA MA SAMUHIK KUVA NU KAM,2024-07-20,2025-01-08,172,292600.0,Physical Inspection,0
105,WS/MP577/2024-2025/133776-Construction of public irrigation facilities,Normal/Others,1,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor (2024-2029),Elected MP,DUNGAR GAME NARANBHAI NA FALIYA MA SAMUHIK KUVA NU KAM,2024-07-20,2025-01-08,172,289800.0,Physical Inspection,0
106,"WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Normal/Others,1,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of flood control embankments in village Makadkheda (Narmada River),2024-07-22,2025-01-21,183,1000000.0,Vendor Identification,3
107,WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area,Normal/Others,1,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of common work shed in village Bhopada at Salakhedi Road,2024-07-22,2025-01-05,167,250000.0,Work Completed,4
108,WS/MP641/2024-2025/133906-Construction of community centers and community halls,Normal/Others,1,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of community hall in village Oon Bujurga at behind Bholaram farm,2024-07-22,2025-01-05,167,500000.0,Work partially Completed,5
109,WS/MP641/2024-2025/133909-Construction of common work sheds/ common covered sitting area,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of common work shed in village Ranipura (Morani Panchayat) at near old Hanuman Mandir,2024-07-22,2024-10-22,92,250000.0,Vendor Identification,3
110,WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of common work shed in village Chervi at near samadhi of Toranmal incident,2024-07-22,2024-10-25,95,200000.0,Vendor Identification,3
111,WS/MP641/2024-2025/133911-Construction of community centers and community halls,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of community hall in village Rosar,2024-07-22,2024-10-21,91,500000.0,Vendor Identification,3
112,WS/MP641/2024-2025/133912-Construction of community centers and community halls,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of community hall in village Bakwadi at near Damodar sahu farm,2024-07-22,2024-10-22,92,1000000.0,Vendor Identification,3
113,WS/MP641/2024-2025/133913-Construction of common work sheds/ common covered sitting area,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of common work shed in village Barda at near ShriRam Mandir,2024-07-22,2025-03-27,248,500000.0,Vendor Identification,3
114,WS/MP641/2024-2025/133919-Construction of common work sheds/ common covered sitting area,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of common work shed in Anjad at ward no 04 at near Khatu Shyam Mandir,2024-07-22,2024-12-18,149,200000.0,Work Completed,4
115,WS/MP641/2025-2026/133920-Construction of community centers and community halls,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of community hall in Anjad at ward no 01 Dashahara Maidan Kshtriya Rathod Dharmshala,2024-07-22,2025-05-12,294,500000.0,Vendor Identification,3
116,WS/MP641/2025-2026/133921-Construction of community centers and community halls,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of community hall in Palsud at ward no 04 Sai Mandir Road behind Rameshwar gole house,2024-07-22,2025-05-05,287,500000.0,Vendor Identification,3
117,WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building,Normal/Others,1,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel (2024-2029),Elected MP,Construction of additional room in the existing public building in village Barda at Koli Mohalla,2024-07-22,2025-03-27,248,200000.0,Vendor Identification,3
118,WS/MP423/2024-2025/133940-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,khajauli hospital chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
119,WS/MP423/2024-2025/133941-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Basopatti babhan dey chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
120,WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,paduma chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
121,WS/MP423/2024-2025/133945-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,ranti chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
122,WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,andhra bazar chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
123,WS/MP423/2024-2025/133947-Street lights,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya,2024-07-23,2025-03-12,232,994000.0,Physical Inspection,0
124,WS/MP423/2024-2025/133949-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,madhepur thana chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
125,WS/MP423/2024-2025/133955-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,bhupatti ges goudam chowk  ke pass bus Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
126,WS/MP423/2024-2025/133959-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,paitghat chowk mandir  ke pass NH ke bagal men Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
127,WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,arariya sangram mithila hat najdik NH ke bagal me Pre Fabricated  bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
128,WS/MP423/2024-2025/133961-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Utkarmit Uchhy VidyalayChandan Kasera block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
129,WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Uchh Madhymik vidyalay Narkatiya block Bassopatti  men 2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
130,WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,utkarmit uchya madhyamik vidyalay  Durgipatti block KHutauna men  2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
131,WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,chharapatti nahar chowk ke pass Pre Fabricated bus sheds ka kray and instolation work.,2024-07-23,2025-02-21,213,1451000.0,Physical Inspection,0
132,WS/MP423/2024-2025/133965-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,U.U.M. School Chhatauni block basopatti men  2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
133,WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Rajkitkrit +2 Uchh vidyalay Lauthwa block basopatti  men 2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
134,WS/MP423/2024-2025/133967-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,utkarmit madhyamik uchh vidyalay Kauyaha block Bassopatti men 2 set lab upkaran kakray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
135,WS/MP423/2024-2025/133968-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,utkarmit uchya vidyalay Dhamiyanpatti blockJaynagar men 2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
136,WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Utkarmit uchhy Madhyamik Vidyalay fentPatauna block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
137,WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,Kabir uchya madhyamik (+2) vidyalay selra block Jaynagar men  2 set lab upkaran ka kray evam adhisthapan karya,2024-07-23,2024-08-20,28,1096000.0,Physical Inspection,0
138,WS/MP423/2024-2025/133971-Installing community drinking water plants,Normal/Others,1,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Ramprit Mandal (2024-2029),Elected MP,khutona samudayik sawasthya kendra men Samarsebal pump ka nirman karya,2024-07-23,2024-10-30,99,239686.0,Physical Inspection,0
